,comp_1,comp_2
0,CHEBI:6699,CHEBI:30718
1,CHEBI:6699,CHEBI:31254
2,CHEBI:6699,CHEBI:3188
3,CHEBI:6699,CHEBI:34809
4,CHEBI:6699,CHEBI:34810
5,CHEBI:6699,CHEBI:37476
6,CHEBI:6699,CHEBI:39750
7,CHEBI:6699,CHEBI:48242
8,CHEBI:6699,CHEBI:48510
9,CHEBI:6699,CHEBI:616
10,CHEBI:6699,CHEBI:7728
11,CHEBI:69579,CHEBI:100636
12,CHEBI:69579,CHEBI:124254
13,CHEBI:69579,CHEBI:15492
14,CHEBI:69579,CHEBI:15580
15,CHEBI:69579,CHEBI:15825
16,CHEBI:69579,CHEBI:16286
17,CHEBI:69579,CHEBI:166
18,CHEBI:69579,CHEBI:17020
19,CHEBI:69579,CHEBI:18064
20,CHEBI:69579,CHEBI:2700
21,CHEBI:69579,CHEBI:27825
22,CHEBI:69579,CHEBI:28142
23,CHEBI:69579,CHEBI:28598
24,CHEBI:69579,CHEBI:3188
25,CHEBI:69579,CHEBI:39750
26,CHEBI:69579,CHEBI:7728
27,CHEBI:69579,CHEBI:89678
28,CHEBI:69829,CHEBI:100636
29,CHEBI:69829,CHEBI:124254
30,CHEBI:69829,CHEBI:15825
31,CHEBI:69829,CHEBI:16070
32,CHEBI:69829,CHEBI:16286
33,CHEBI:69829,CHEBI:166
34,CHEBI:69829,CHEBI:18400
35,CHEBI:69829,CHEBI:2220
36,CHEBI:69829,CHEBI:27825
37,CHEBI:69829,CHEBI:28142
38,CHEBI:69829,CHEBI:28708
39,CHEBI:69829,CHEBI:34809
40,CHEBI:69829,CHEBI:34810
41,CHEBI:69829,CHEBI:37476
42,CHEBI:69829,CHEBI:39750
43,CHEBI:69829,CHEBI:48242
44,CHEBI:69829,CHEBI:69014
45,CHEBI:69829,CHEBI:7728
46,CHEBI:70353,CHEBI:100636
47,CHEBI:70353,CHEBI:124254
48,CHEBI:70353,CHEBI:15398
49,CHEBI:70353,CHEBI:15667
50,CHEBI:70353,CHEBI:15825
51,CHEBI:70353,CHEBI:16286
52,CHEBI:70353,CHEBI:166
53,CHEBI:70353,CHEBI:16712
54,CHEBI:70353,CHEBI:180399
55,CHEBI:70353,CHEBI:212
56,CHEBI:70353,CHEBI:2220
57,CHEBI:70353,CHEBI:27808
58,CHEBI:70353,CHEBI:27825
59,CHEBI:70353,CHEBI:28142
60,CHEBI:70353,CHEBI:34809
61,CHEBI:70353,CHEBI:34810
62,CHEBI:70353,CHEBI:37476
63,CHEBI:70353,CHEBI:39750
64,CHEBI:70353,CHEBI:48242
65,CHEBI:70353,CHEBI:48510
66,CHEBI:70353,CHEBI:7728
67,CHEBI:70353,CHEBI:99265
68,CHEBI:73336,CHEBI:100636
69,CHEBI:73336,CHEBI:124254
70,CHEBI:73336,CHEBI:15492
71,CHEBI:73336,CHEBI:15728
72,CHEBI:73336,CHEBI:15825
73,CHEBI:73336,CHEBI:16286
74,CHEBI:73336,CHEBI:166
75,CHEBI:73336,CHEBI:16614
76,CHEBI:73336,CHEBI:16864
77,CHEBI:73336,CHEBI:16936
78,CHEBI:73336,CHEBI:17020
79,CHEBI:73336,CHEBI:17225
80,CHEBI:73336,CHEBI:18169
81,CHEBI:73336,CHEBI:18400
82,CHEBI:73336,CHEBI:27399
83,CHEBI:73336,CHEBI:27651
84,CHEBI:73336,CHEBI:27808
85,CHEBI:73336,CHEBI:27825
86,CHEBI:73336,CHEBI:28142
87,CHEBI:73336,CHEBI:30718
88,CHEBI:73336,CHEBI:33390
89,CHEBI:73336,CHEBI:34809
90,CHEBI:73336,CHEBI:34810
91,CHEBI:73336,CHEBI:37476
92,CHEBI:73336,CHEBI:39750
93,CHEBI:73336,CHEBI:42896
94,CHEBI:73336,CHEBI:48242
95,CHEBI:73336,CHEBI:48510
96,CHEBI:73336,CHEBI:52618
97,CHEBI:73336,CHEBI:616
98,CHEBI:73336,CHEBI:6476
99,CHEBI:73336,CHEBI:69014
100,CHEBI:73336,CHEBI:7728
101,CHEBI:73336,CHEBI:89678
102,CHEBI:73336,CHEBI:94290
103,CHEBI:80747,CHEBI:119051
104,CHEBI:80747,CHEBI:119052
105,CHEBI:80747,CHEBI:124254
106,CHEBI:80747,CHEBI:15825
107,CHEBI:80747,CHEBI:16108
108,CHEBI:80747,CHEBI:166
109,CHEBI:80747,CHEBI:18229
110,CHEBI:80747,CHEBI:27825
111,CHEBI:80747,CHEBI:39750
112,CHEBI:80747,CHEBI:48551
113,CHEBI:80747,CHEBI:52134
114,CHEBI:80747,CHEBI:7728
115,CHEBI:80747,CHEBI:80748
116,CHEBI:9657,CHEBI:100636
117,CHEBI:9657,CHEBI:124254
118,CHEBI:9657,CHEBI:15825
119,CHEBI:9657,CHEBI:16286
120,CHEBI:9657,CHEBI:166
121,CHEBI:9657,CHEBI:16632
122,CHEBI:9657,CHEBI:16825
123,CHEBI:9657,CHEBI:17244
124,CHEBI:9657,CHEBI:212
125,CHEBI:9657,CHEBI:2220
126,CHEBI:9657,CHEBI:27808
127,CHEBI:9657,CHEBI:27825
128,CHEBI:9657,CHEBI:28142
129,CHEBI:9657,CHEBI:29055
130,CHEBI:9657,CHEBI:34809
131,CHEBI:9657,CHEBI:34810
132,CHEBI:9657,CHEBI:37476
133,CHEBI:9657,CHEBI:39750
134,CHEBI:9657,CHEBI:48242
135,CHEBI:9657,CHEBI:48510
136,CHEBI:9657,CHEBI:50629
137,CHEBI:9657,CHEBI:7728
138,CHEBI:9921,CHEBI:100636
139,CHEBI:9921,CHEBI:118
140,CHEBI:9921,CHEBI:119602
141,CHEBI:9921,CHEBI:124254
142,CHEBI:9921,CHEBI:15555
143,CHEBI:9921,CHEBI:15825
144,CHEBI:9921,CHEBI:16358
145,CHEBI:9921,CHEBI:166
146,CHEBI:9921,CHEBI:17020
147,CHEBI:9921,CHEBI:17344
148,CHEBI:9921,CHEBI:17886
149,CHEBI:9921,CHEBI:27825
150,CHEBI:9921,CHEBI:28470
151,CHEBI:9921,CHEBI:29055
152,CHEBI:9921,CHEBI:30718
153,CHEBI:9921,CHEBI:34809
154,CHEBI:9921,CHEBI:34810
155,CHEBI:9921,CHEBI:36244
156,CHEBI:9921,CHEBI:37476
157,CHEBI:9921,CHEBI:39750
158,CHEBI:9921,CHEBI:48242
159,CHEBI:9921,CHEBI:616
160,CHEBI:9921,CHEBI:7728
161,CHEBI:9921,CHEBI:84001
162,CHEBI:17697,CHEBI:110320
163,CHEBI:17697,CHEBI:124254
164,CHEBI:17697,CHEBI:15825
165,CHEBI:17697,CHEBI:16070
166,CHEBI:17697,CHEBI:166
167,CHEBI:17697,CHEBI:16652
168,CHEBI:17697,CHEBI:166816
169,CHEBI:17697,CHEBI:39750
170,CHEBI:17697,CHEBI:7728
171,CHEBI:133127,CHEBI:100636
172,CHEBI:133127,CHEBI:114
173,CHEBI:133127,CHEBI:124254
174,CHEBI:133127,CHEBI:15580
175,CHEBI:133127,CHEBI:15825
176,CHEBI:133127,CHEBI:16286
177,CHEBI:133127,CHEBI:166
178,CHEBI:133127,CHEBI:17020
179,CHEBI:133127,CHEBI:2220
