,chebi,smile
0,CHEBI:6699,C[C@H]1[C@H]2[C@H](OC1=O)[C@@H]1C(C=C[C@@]1(C)O)=C(C)C[C@@H]2OC(C)=O
1,CHEBI:69579,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O
2,CHEBI:69829,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12
3,CHEBI:70353,COc1cc(CC=C)c(OC)c2OCOc12
4,CHEBI:80747,CC(C)CC(=O)OCc1cocc2c(C=O)ccc12
5,CHEBI:9657,OC[C@H]1O[C@@H](Oc2ccccc2COC(=O)C2(O)C=CCCC2=O)[C@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O
6,CHEBI:9921,[H][C@]12CCC(C)=C1[C@@H](CC[C@H]2C)\C=C(/C)C(O)=O
7,CHEBI:17697,C1=CC(=CC=2C(=CNC12)CCNC(C)=O)O
8,CHEBI:133127,O=C1[C@H](NC([C@@H](NC([C@@H](CC(C)C)NC(=O)[C@@H](NC([C@@H](C(C)C)NC(=O)[C@@H]2CSC(N2)[C@H](C(C)C)N1)=O)CC=3C=4C=CC=CC4NC3)=O)C(C)C)=O)C(C)C
9,CHEBI:2422,CC(=O)NN
10,CHEBI:49801,Cl[Pt]Cl
11,CHEBI:17123,NC(=C)C(O)=O
12,CHEBI:59511,[Na+].CC1(C)C[C@@H]1C(=O)N\C(C(O)=O)=C/CCCCSC[C@H](N)C([O-])=O
13,CHEBI:75947,P1(O[C@@H]2[C@H](O[C@H]([C@@H]2O)N3C=NC=4C(=NC=NC43)N)COP(=O)(O[C@H]5[C@@H](O[C@@H]([C@H]5O)CO1)N6C=NC=7C(NC(=NC76)N)=O)O)(=O)O
14,CHEBI:73823,CC(C)[C@H](NC(=O)[C@@H](N)CCCNC(N)=N)C(O)=O
15,CHEBI:72573,[*]N=NN([*])[*]
16,CHEBI:78591,COC[C@H](C[C@H]1O[C@@H](C[C@@H](O)C1(C)C)[C@@H](NC(=O)[C@@H](O)[C@]1(CC(=C)[C@@H](C)[C@@H](C)O1)OC)OC)OC
17,CHEBI:135605,C(CN(CCO)CC)N1C2=C(N=C1CC3=CC=CC=C3)N(C)C(N(C2=O)C)=O
18,CHEBI:4995,NC(=O)OCC(COC(N)=O)c1ccccc1
19,CHEBI:5829,Cc1cc(=O)n(o1)[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
20,CHEBI:44115,OS(=O)(=O)CCCN1CCOCC1
21,CHEBI:134105,C=12C(=NC=NC1N)NC(=N2)O
22,CHEBI:31307,Nc1nc(=O)c(Br)c([nH]1)-c1ccccc1
23,CHEBI:9725,CC(CN(C)C)CN1c2ccccc2Sc2ccccc12
24,CHEBI:133749,O1C(=CC(=C1CCCCCC)S(O)(=O)=O)CC
25,CHEBI:16555,CC(S)=O
26,CHEBI:17189,OC(=O)c1cc(O)ccc1O
27,CHEBI:60175,NCC(O)CCC(N)C(O)=O
28,CHEBI:48981,Oc1cccc2cccnc12
29,CHEBI:81064,CCCCCCCC(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O
30,CHEBI:10283,OC([*])C(O)=O
31,CHEBI:30718,N#[N][Mo+4]123([N]#N)[P-](CC[P-]1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1.C(C[P-]2(c1ccccc1)c1ccccc1)[P-]3(c1ccccc1)c1ccccc1
32,CHEBI:31254,O(CC(C[NH2+]C(C)C)O)C1=C2C(=CC=C1)C=C(O2)C(C)=O.[Cl-]
33,CHEBI:3188,COC(=O)[C@]12OC[C@@]34[C@H]1[C@@H](OC(=O)\C=C(/C)C(C)C)C(=O)O[C@@H]3C[C@H]1C(C)=C(O)C(=O)C[C@]1(C)[C@H]4[C@@H](O)[C@@H]2O
34,CHEBI:34809,CC(C)S(=O)(=O)NCC(C)c1ccc(NC(=O)c2ccccc2)cc1
35,CHEBI:34810,[C@@H]1(O[C@H]([C@H](O)[C@H]([C@H]1O)O)O[C@@H]([C@@H]([C@H](CO)O)O)[C@@H](CO)O)CO.O.O
36,CHEBI:37476,O[C@H]1C=Cc2c(ccc3ccccc23)[C@H]1O
37,CHEBI:48242,O=[Cr]O[Cr]=O
38,CHEBI:48510,O(S(C(F)(F)F)(=O)=O)*
39,CHEBI:616,Cc1cc(C)n(CC(O)Cn2c3ccccc3c3ccccc23)n1
40,CHEBI:7728,CCCCCCCCN
41,CHEBI:100636,C[C@H]1CN[C@@H](COC2=C(C=C(C=C2)NC(=O)C3=NOC(=C3)C)C(=O)N(C[C@@H]1OC)C)C
42,CHEBI:124254,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)C3CC3)O[C@H]1CN(C)CC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5N)[C@H](C)CO
43,CHEBI:15492,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCC(O)=O
44,CHEBI:15580,CC[C@]1(C)O[C@@H]1CC\C(C)=C\CC\C(C)=C\C(O)=O
45,CHEBI:15825,CC(C)=CC=O
46,CHEBI:16286,[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])[C@](C)(C=O)[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C
47,CHEBI:166,C[C@H]1CC[C@H](CC1=O)C(C)=C
48,CHEBI:18064,CC(CO)C(O)=O
49,CHEBI:2700,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO
50,CHEBI:27825,COc1cc(O)c2c(c1)oc(-c1ccc(OC)c(O)c1)c(OC)c2=O
51,CHEBI:28142,OC(O)C(Cl)(Cl)Cl
52,CHEBI:28598,C[C@@H](O)[C@@H](O)C(N)=O
53,CHEBI:89678,C([C@@](COC(CCCCCCCCC/C=C\CCCCCC)=O)(OC(CCCCCCC/C=C\CCCCCC)=O)[H])OP([O-])(=O)OCC[N+](C)(C)C
54,CHEBI:16070,OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O
55,CHEBI:18400,OC1=CC(=O)C=CC1=O
56,CHEBI:2220,O[C@@H]1CO[C@@H](OC[C@H]2O[C@@H](O[*])[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
57,CHEBI:28708,CC(C)c1cccc(O)c1O
58,CHEBI:69014,[H][C@@]12CC[C@H](C)c3c(O)c(O)c(C)c([C@@H](C[C@@H]1C)C=C(C)C)c23
59,CHEBI:15398,[H][C@]12CC(=O)[C@](C)(C[C@H]1O)C2(C)C
60,CHEBI:15667,[H]\C(Cc1ccc(O)cc1)=N\O
61,CHEBI:16712,O[C@H](CS(O)(=O)=O)C(O)=O
62,CHEBI:180399,O(C1=C(OC)C=CC(=C1)C=C)C
63,CHEBI:212,CC(=O)CC[C@@H](CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)C(C)=C
64,CHEBI:27808,[H][C@]12C=C[C@H](OC(C)=O)[C@@H]3Oc4c(OC(C)=O)ccc5C[C@H]1N(C)CC[C@@]23c45
65,CHEBI:99265,CC(C)(C)[S@](=O)N1CC2=CC(=NC(=C2[C@@H]1CCO)C3=CC=CC(=C3)C4=CC(=CC=C4)C(=O)N(C)C)C(=O)N5CCCCC5
66,CHEBI:15728,C(=N)(N)NCCCC(O)=O
67,CHEBI:16864,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC2O[C@H](CO)[C@@H](O)[C@H]2O)[C@@H](O)[C@H]1O
68,CHEBI:17225,COC1=C[C@]23CCN(C)[C@H](Cc4ccc(OC)c(O)c24)C3=CC1=O
69,CHEBI:18169,O[C@H]1[C@H](O)[C@H](O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1O
70,CHEBI:27399,CCNc1nc(N)nc(Cl)n1
71,CHEBI:33390,[Cm]
72,CHEBI:42896,OC[C@H]1O[C@@H](S)[C@H](O)[C@@H](O)[C@@H]1O
73,CHEBI:52618,OC([*])C(O)=O
74,CHEBI:94290,C1C=CCC2C1C(=O)N(C2=O)C3CC(=O)C4OCC3O4
75,CHEBI:119051,CC(C)C1=CN(N=N1)CC[C@@H]2CC[C@@H]([C@@H](O2)CO)NC(=O)C3=CC(=CC=C3)F
76,CHEBI:119052,C[C@@H](C1=CC=CC=C1)NC(=O)C[C@H]2C=C[C@@H]([C@H](O2)CO)NS(=O)(=O)C3=CC=CC(=C3)F
77,CHEBI:16108,OCC(=O)COP(O)(O)=O
78,CHEBI:18229,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)CCC[C@@H](N)C(O)=O)C(O)=O
79,CHEBI:48551,*NC(N)=N
80,CHEBI:52134,[Na+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)c1c(C)onc1-c1ccccc1)C([O-])=O
81,CHEBI:80748,CC(C)[C@H]1CC[C@@]2(C)CCCC(=O)[C@@]2(C)C1
82,CHEBI:16632,COc1cc(ccc1O)C([O-])=O
83,CHEBI:16825,CN=C(C)[C@H](O)c1ccccc1
84,CHEBI:17244,OC1C=Cc2nc(O)ccc2C1O
85,CHEBI:29055,Oc1ccc(CC(=O)C([O-])=O)cc1O
86,CHEBI:118,COc1cc2OC[C@@H]3[C@@H](Oc4cc(O)ccc34)c2cc1OC
87,CHEBI:119602,C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CCC3CCCC3)O[C@H]1CN(C)S(=O)(=O)C4=CC=CC=C4OC)[C@H](C)CO
88,CHEBI:15555,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(O)=O)[C@@H](O)CC1=O
89,CHEBI:16358,O[C@H]1CO[C@H](OC[C@H]2O[C@@H](O[C@@H](C#N)c3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O
90,CHEBI:17344,OC(=O)\C=C/C=C(C(O)=O)C(O)=O
91,CHEBI:17886,OCC(=O)[C@@H](O)[C@@H](O)[C@H](O)C([O-])=O
92,CHEBI:28470,O=C1CN=CN1
93,CHEBI:84001,FC(F)C(F)(F)OC[C@H](Cn1cncn1)c1ccc(Cl)cc1Cl
94,CHEBI:110320,C1CC1CNC(=O)C[C@@H]2C[C@@H]3[C@H]([C@H](O2)CO)OC4=C3C=C(C=C4)NC(=O)NC5=CC=CC=C5
95,CHEBI:16652,NC(=N)NCCCCNC(N)=N
96,CHEBI:166816,OC1CC2[C@@]([C@@]3([C@]([C@]4([C@@]([C@H](CC4)C(CC/C(/C(C)C)=C/C)C)(CC3)C)[H])(CC2)[H])[H])(CC1)C
97,CHEBI:114,O=C([C@H]1[C@@H]([C@@H]([C@H]1c1ccccc1)C(=O)N1CCCC(=C1)[C@H]1CCCCN1)c1ccccc1)N1CCCC(=C1)[C@H]1CCCCN1
98,CHEBI:27460,COc1cc2CCN[C@@H](Cc3ccc(O)c(O)c3)c2cc1O
99,CHEBI:129650,C[C@@H]1CN(C(=O)C2=C(C=CC(=C2)NC(=O)NC3=CC=C(C=C3)OC)O[C@@H]1CN(C)CC4=CC5=C(C=C4)OCO5)[C@@H](C)CO
100,CHEBI:1378,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)S[*]
101,CHEBI:15657,C(=C\[C@H](/C=C\CCCCC)OO)\CCCCCCCC(=O)O
102,CHEBI:16352,OC1CN=C(C1)C(O)=O
103,CHEBI:28071,O[C@H]1CO[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](OC(=O)Cc3c[nH]c4ccccc34)[C@@H](O)[C@H]2O)[C@H](O)[C@H]1O
104,CHEBI:28234,O[C@H]1C=CC2=C([C@H]1O)c1ccccc1C2
105,CHEBI:28359,CC1(C)[C@H]2CCC(=C)[C@@H]1C2
106,CHEBI:28502,C1CN=C(Cc2ccccc2)N1
107,CHEBI:30717,F[Mo--]1(F)(F)(F)(=O)OO1
108,CHEBI:110,CC[C@]12CCC[N@@](C1)CCc1c(CC2)[nH]c2ccccc12
109,CHEBI:282,CCCCCC#C\C=C\C=C\CC\C=C\C(=O)NCC(C)C
110,CHEBI:53209,[O-][Ru](=O)(=O)=O.CCC[N+](CCC)(CCC)CCC
111,CHEBI:6478,C[C@@H]1C[C@@H]2OC(=O)C(=C)[C@H]2[C@@H](OC(C)=O)[C@@]2(C)[C@H]1C=CC2=O
112,CHEBI:10582,CO[C@H]1C[C@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
113,CHEBI:1394,OC(=O)[C@@]1(O)C[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](C1)OC(=O)c1cc(O)c(O)c(O)c1
114,CHEBI:16080,NCC(O)CC(O)=O
115,CHEBI:166358,O=C(N[C@H](C(=O)N[C@@H](CCC(=O)N)C(O)=O)CO)[C@@H](N)C(C)C
116,CHEBI:16725,CC(C)c1ccc(C(O)=O)c(O)c1O
117,CHEBI:17038,[H][C@@]12CCC3=C(CC[C@]4(C)[C@]([H])(CC[C@@]34[H])[C@H](C)CCC(=C)C(C)C)[C@@]1(C)CC[C@H](O)C2
118,CHEBI:17784,N[C@H]([C@@H](O)[C@H](O)[C@H](O)CO)C(O)=O
119,CHEBI:27404,Oc1cc2cc[nH]c2cc1O
120,CHEBI:27446,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COc1ccccc1)C(O)=O
121,CHEBI:29648,CN([C@@H](CCCN)C(=O)Nc1ccc2ccccc2c1)C(=O)[C@@H](N)Cc1ccccc1
122,CHEBI:36968,[SeH]C([SeH])=[Se]
123,CHEBI:7062,OC(NC(CCCCNC(=O)c1cccc(O)c1O)CNC(=O)c1cccc(O)c1O)c1cccc(O)c1O
124,CHEBI:7642,Oc1cc(O)c2c(oc(cc2=O)-c2ccccc2)c1O
125,CHEBI:130121,C[C@H]1[C@H](CN(C(=O)C2=C(C=CC(=C2)C#N)OCC[C@@H]3CC[C@@H]([C@@H](O3)CN(C1=O)C)OC)C)OC
126,CHEBI:160,O[C@@H]([C@H](CC(O)=O)C(O)=O)C(O)=O
127,CHEBI:6427,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1
128,CHEBI:78496,CC[C@H](C)[C@H](N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(C)C)C(N)=O
129,CHEBI:2212,COc1cc(O)c2C(=O)O[C@H](C)Cc2c1
130,CHEBI:2724,C=CC[C@@H]1NC[C@H]2C[C@H]1CN1[C@@H]2CCCC1=O
131,CHEBI:28996,CC1(C)C2CC1C(=C)C(=O)C2
