comp_1,comp_2,smile_1,smile_2
CHEBI:6699,CHEBI:30718,C[C@H]1[C@H]2[C@H](OC1=O)[C@@H]1C(C=C[C@@]1(C)O)=C(C)C[C@@H]2OC(C)=O,N#[N][Mo+4]123([N]#N)[P-](CC[P-]1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1.C(C[P-]2(c1ccccc1)c1ccccc1)[P-]3(c1ccccc1)c1ccccc1
CHEBI:6699,CHEBI:31254,C[C@H]1[C@H]2[C@H](OC1=O)[C@@H]1C(C=C[C@@]1(C)O)=C(C)C[C@@H]2OC(C)=O,O(CC(C[NH2+]C(C)C)O)C1=C2C(=CC=C1)C=C(O2)C(C)=O.[Cl-]
CHEBI:6699,CHEBI:3188,C[C@H]1[C@H]2[C@H](OC1=O)[C@@H]1C(C=C[C@@]1(C)O)=C(C)C[C@@H]2OC(C)=O,COC(=O)[C@]12OC[C@@]34[C@H]1[C@@H](OC(=O)\C=C(/C)C(C)C)C(=O)O[C@@H]3C[C@H]1C(C)=C(O)C(=O)C[C@]1(C)[C@H]4[C@@H](O)[C@@H]2O
CHEBI:6699,CHEBI:34809,C[C@H]1[C@H]2[C@H](OC1=O)[C@@H]1C(C=C[C@@]1(C)O)=C(C)C[C@@H]2OC(C)=O,CC(C)S(=O)(=O)NCC(C)c1ccc(NC(=O)c2ccccc2)cc1
CHEBI:6699,CHEBI:34810,C[C@H]1[C@H]2[C@H](OC1=O)[C@@H]1C(C=C[C@@]1(C)O)=C(C)C[C@@H]2OC(C)=O,[C@@H]1(O[C@H]([C@H](O)[C@H]([C@H]1O)O)O[C@@H]([C@@H]([C@H](CO)O)O)[C@@H](CO)O)CO.O.O
CHEBI:6699,CHEBI:37476,C[C@H]1[C@H]2[C@H](OC1=O)[C@@H]1C(C=C[C@@]1(C)O)=C(C)C[C@@H]2OC(C)=O,O[C@H]1C=Cc2c(ccc3ccccc23)[C@H]1O
CHEBI:6699,CHEBI:48242,C[C@H]1[C@H]2[C@H](OC1=O)[C@@H]1C(C=C[C@@]1(C)O)=C(C)C[C@@H]2OC(C)=O,O=[Cr]O[Cr]=O
CHEBI:6699,CHEBI:48510,C[C@H]1[C@H]2[C@H](OC1=O)[C@@H]1C(C=C[C@@]1(C)O)=C(C)C[C@@H]2OC(C)=O,O(S(C(F)(F)F)(=O)=O)*
CHEBI:6699,CHEBI:616,C[C@H]1[C@H]2[C@H](OC1=O)[C@@H]1C(C=C[C@@]1(C)O)=C(C)C[C@@H]2OC(C)=O,Cc1cc(C)n(CC(O)Cn2c3ccccc3c3ccccc23)n1
CHEBI:6699,CHEBI:7728,C[C@H]1[C@H]2[C@H](OC1=O)[C@@H]1C(C=C[C@@]1(C)O)=C(C)C[C@@H]2OC(C)=O,CCCCCCCCN
CHEBI:69579,CHEBI:100636,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,C[C@H]1CN[C@@H](COC2=C(C=C(C=C2)NC(=O)C3=NOC(=C3)C)C(=O)N(C[C@@H]1OC)C)C
CHEBI:69579,CHEBI:124254,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)C3CC3)O[C@H]1CN(C)CC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5N)[C@H](C)CO
CHEBI:69579,CHEBI:15492,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCC(O)=O
CHEBI:69579,CHEBI:15580,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,CC[C@]1(C)O[C@@H]1CC\C(C)=C\CC\C(C)=C\C(O)=O
CHEBI:69579,CHEBI:15825,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,CC(C)=CC=O
CHEBI:69579,CHEBI:16286,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])[C@](C)(C=O)[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C
CHEBI:69579,CHEBI:166,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,C[C@H]1CC[C@H](CC1=O)C(C)=C
CHEBI:69579,CHEBI:18064,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,CC(CO)C(O)=O
CHEBI:69579,CHEBI:2700,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO
CHEBI:69579,CHEBI:27825,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,COc1cc(O)c2c(c1)oc(-c1ccc(OC)c(O)c1)c(OC)c2=O
CHEBI:69579,CHEBI:28142,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,OC(O)C(Cl)(Cl)Cl
CHEBI:69579,CHEBI:28598,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,C[C@@H](O)[C@@H](O)C(N)=O
CHEBI:69579,CHEBI:3188,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,COC(=O)[C@]12OC[C@@]34[C@H]1[C@@H](OC(=O)\C=C(/C)C(C)C)C(=O)O[C@@H]3C[C@H]1C(C)=C(O)C(=O)C[C@]1(C)[C@H]4[C@@H](O)[C@@H]2O
CHEBI:69579,CHEBI:7728,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,CCCCCCCCN
CHEBI:69579,CHEBI:89678,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)[C@@](C)(CO)[C@]3([H])CC[C@@]12C)C(O)=O,C([C@@](COC(CCCCCCCCC/C=C\CCCCCC)=O)(OC(CCCCCCC/C=C\CCCCCC)=O)[H])OP([O-])(=O)OCC[N+](C)(C)C
CHEBI:69829,CHEBI:100636,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,C[C@H]1CN[C@@H](COC2=C(C=C(C=C2)NC(=O)C3=NOC(=C3)C)C(=O)N(C[C@@H]1OC)C)C
CHEBI:69829,CHEBI:124254,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)C3CC3)O[C@H]1CN(C)CC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5N)[C@H](C)CO
CHEBI:69829,CHEBI:15825,CC(C)(O)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,CC(C)=CC=O
